,negative,positive,total
we,3,0,3
well,1,0,1
what,3,0,3
wheels,1,0,1
when,1,0,1
where,1,0,1
while,1,0,1
who,1,0,1
why,1,0,1
will,7,0,7
with,9,0,9
without,2,0,2
wo,2,0,2
working,1,0,1
world,1,0,1
worth,1,0,1
would,3,0,3
wow,1,0,1
yeah,2,0,2
year,4,0,4
years,1,0,1
yet,1,0,1
you,4,0,4
your,2,0,2
